Title,Author,Published Year,ISBN,Age Range,Book Format,Current Price,Image
"Kalas, Alfons Åberg!",Gunilla Bergström,2014,9789129690453,3-6,"inbunden, ",59 kr,https://s2.adlibris.com/images/13046068/kalas-alfons-aberg.jpg
Pip! Sa musen,-,2015,9789155261443,0-3,"board book, ",19 kr,https://s2.adlibris.com/images/14564030/pip-sa-musen.jpg
Det är en gris på dagis,Johanna Thydell,2017,9789150119633,3-6,"inbunden, ",54 kr,https://s1.adlibris.com/images/29270406/det-ar-en-gris-pa-dagis.jpg
Sommar i Stora Skogen,Ulf Stark,2015,9789129695779,3-6,"inbunden, ",129 kr,https://s2.adlibris.com/images/15789474/sommar-i-stora-skogen.jpg
Bamses pott-bok,Joakim Gunnarsson,2016,9789157028143,0-3,"board book, ",75 kr,https://s1.adlibris.com/images/22256037/bamses-pott-bok.jpg
"Listigt, Alfons Åberg!",Gunilla Bergström,2012,9789129685435,3-6,"kartonnage, ",59 kr,https://s2.adlibris.com/images/138933/listigt-alfons-aberg.jpg
Kaninen som så gärna ville somna : en annorlunda godnattsaga,Carl-Johan Forssén Ehrlin,2011,9789186749002,3-6,"inbunden, ",161 kr,https://s2.adlibris.com/images/11053/kaninen-som-sa-garna-ville-somna-en-annorlunda-godnattsaga.jpg
Näpp! sa Alfons Åberg,Gunilla Bergström,2007,9789129666090,3-6,"kartonnage, ",59 kr,https://s2.adlibris.com/images/138952/napp-sa-alfons-aberg.jpg
Flickan som inte ville bli drottning : en sagolik historia om drottning Kristina,Andreas Sjölander,2016,9789198360417,3-6,"inbunden, ",135 kr,https://s2.adlibris.com/images/28411862/flickan-som-inte-ville-bli-drottning-en-sagolik-historia-om-drottning-kristina.jpg
När Gustav blev kung : en sagolik historia om Gustav Vasa,Andreas Sjölander,2016,9789198360400,3-6,"inbunden, ",135 kr,https://s1.adlibris.com/images/28411863/nar-gustav-blev-kung-en-sagolik-historia-om-gustav-vasa.jpg
Else-Marie och småpapporna,Pija Lindenbaum,2007,9789163848346,3-6,"inbunden, ",61 kr,https://s2.adlibris.com/images/3600/else-marie-och-smapapporna.jpg
Showtajm,Lars Arrhenius,2012,9789186593315,-,"inbunden, ",9 kr,https://s2.adlibris.com/images/290843/showtajm.jpg
Pixiväska,-,2016,9789163888250,3-6,"häftad, ",129 kr,https://s1.adlibris.com/images/23662552/pixivaska.jpg
Ingrid och Ivar gör kalas,Katerina Janouch,2017,9789163893964,-,"inbunden, ",61 kr,https://s1.adlibris.com/images/27823801/ingrid-och-ivar-gor-kalas.jpg
Nickes godnattbok,Margret Rey,2010,9789129674101,0-3,"board book, ",57 kr,https://s2.adlibris.com/images/136773/nickes-godnattbok.jpg
Ingrid vill bada,Katerina Janouch,2012,9789163873737,0-3,"inbunden, ",61 kr,https://s2.adlibris.com/images/53888/ingrid-vill-bada.jpg
Filippa & morfar går på tivoli,Lasse Berghagen,2015,9789174019407,3-6,"inbunden, ",111 kr,https://s1.adlibris.com/images/16795475/filippa-morfar-gar-pa-tivoli.jpg
"Aja baja, Alfons Åberg!",Gunilla Bergström,2006,9789129665505,3-6,"kartonnage, ",59 kr,https://s1.adlibris.com/images/138914/aja-baja-alfons-aberg.jpg
Titta Pippi,Astrid Lindgren,2013,9789129688870,0-3,"board book, ",61 kr,https://s2.adlibris.com/images/1140/titta-pippi.jpg
Ingrid ska resa,Katerina Janouch,2014,9789163867170,0-3,"inbunden, ",61 kr,https://s2.adlibris.com/images/11419663/ingrid-ska-resa.jpg
Nils Karlsson-Pyssling flyttar in,Astrid Lindgren,1979,9789129431827,3-6,"kartonnage, ",57 kr,https://s2.adlibris.com/images/1112/nils-karlsson-pyssling-flyttar-in.jpg
Allt fantastiskt du kan bli,Emily Winfield Martin,2017,9789173378598,3-6,"inbunden, ",111 kr,https://s2.adlibris.com/images/27921086/allt-fantastiskt-du-kan-bli.jpg
Vem räddar Alfons Åberg?,Gunilla Bergström,2013,9789129690439,3-6,"inbunden, ",59 kr,https://s1.adlibris.com/images/13764373/vem-raddar-alfons-aberg.jpg
Sagasagor : fiffiga kroppen och finurliga knoppen,Josefine Sundström,2017,9789163895562,3-6,"inbunden, ",84 kr,https://s2.adlibris.com/images/29247144/sagasagor-fiffiga-kroppen-och-finurliga-knoppen.jpg
Nina börjar skolan,Emi Gunér,2016,9789129699227,3-6,"inbunden, ",120 kr,https://s1.adlibris.com/images/24919038/nina-borjar-skolan.jpg
Ingrid och pappa,Katerina Janouch,2014,9789163879944,0-3,"inbunden, ",61 kr,https://s2.adlibris.com/images/12623993/ingrid-och-pappa.jpg
"Adjö, herr Muffin",Ulf Nilsson,2009,9789163864681,3-6,"kartonnage, ",61 kr,https://s2.adlibris.com/images/5434/adjo-herr-muffin.jpg
Kungen som ville bli hjälte : en sagolik historia om Gustav III,Andreas Sjölander,2016,9789198360424,3-6,"inbunden, ",135 kr,https://s2.adlibris.com/images/28411861/kungen-som-ville-bli-hjalte-en-sagolik-historia-om-gustav-iii.jpg
Det var det fräckaste!,Werner Holzwarth,2002,9789150211863,3-6,"inbunden, ",95 kr,https://s1.adlibris.com/images/977963/det-var-det-frackaste.jpg
Flyg! sa Alfons Åberg,Gunilla Bergström,2015,9789129697605,3-6,"inbunden, ",59 kr,https://s1.adlibris.com/images/16657266/flyg-sa-alfons-aberg.jpg
Busiga Bebbens potta,Thomas Svensson,2010,9789163865831,0-3,"inbunden, ",61 kr,https://s1.adlibris.com/images/244709/busiga-bebbens-potta.jpg
Hurra! Jag ska få ett syskon!,David Bedford,2017,9789188219688,0-3,"inbunden, ",61 kr,https://s1.adlibris.com/images/28050116/hurra-jag-ska-fa-ett-syskon.jpg
Pricken,Margret Rey,2016,9789129699388,3-6,"inbunden, ",61 kr,https://s1.adlibris.com/images/23701138/pricken.jpg
Var är mamma?,Julia Donaldson,2009,9789150112252,3-6,"inbunden, ",61 kr,https://s1.adlibris.com/images/37617/var-ar-mamma.jpg
Bamse Min första bok om saker,-,2016,9789157028747,0-3,"board book, ",40 kr,https://s1.adlibris.com/images/24646870/bamse-min-forsta-bok-om-saker.jpg
Matildas katter,Jan Lööf,2016,9789163892028,3-6,"inbunden, ",61 kr,https://s2.adlibris.com/images/24989445/matildas-katter.jpg
En ganska otrevlig elefant,David Walliams,2014,9789132165016,3-6,"inbunden, ",108 kr,https://s2.adlibris.com/images/12696494/en-ganska-otrevlig-elefant.jpg
Äntligen bajs!,Camilla Lundsten,2010,9789129674538,0-3,"board book, ",61 kr,https://s1.adlibris.com/images/284897/antligen-bajs.jpg
Nasse hittar en stol,Sven Nordqvist,2017,9789172998988,3-6,"inbunden, ",54 kr,https://s2.adlibris.com/images/29249333/nasse-hittar-en-stol.jpg
Petter och hans fyra getter,Einar Norelius,2007,9789172215023,0-3,"inbunden, ",53 kr,https://s2.adlibris.com/images/32837/petter-och-hans-fyra-getter.jpg
Pettson tältar,Sven Nordqvist,1998,9789172706637,6-9,"inbunden, ",85 kr,https://s1.adlibris.com/images/3218/pettson-taltar.jpg
Älvsommar,Mårten Sandén,2017,9789129703351,3-6,"inbunden, ",138 kr,https://s1.adlibris.com/images/29312714/alvsommar.jpg
Billy på sjukhus,Birgitta Stenberg,2014,9789163877674,3-6,"inbunden, ",61 kr,https://s2.adlibris.com/images/63333/billy-pa-sjukhus.jpg
Historien om någon,Åke Löfgren,1988,9789129486339,3-6,"kartonnage, ",61 kr,https://s1.adlibris.com/images/31644/historien-om-nagon.jpg
